"ind_ID","pot_ID","pot_number","sp","sp_group","Richness","CRichGroup","Group","Comp","mean_phydist","ABM","UBM","LTO","MLA","SLA","LDMC","SSD","Chl","Height","SRL","RD","RTD","SRA","Above_PC1","Above_PC2","Below_PC1","Below_PC2"
"CT-R1-G0-CG-181227","CT-R1-G0-CG-6",6,"CG","SS-HA-CM-CG-QC-CS-LH-ED-DO-QS",1,"CT-R1-G0",0,TRUE,0,3.7,2.03,1.38273443844735,-0.00865881347696286,-0.475970445754394,0.868532951917143,0.732298183641248,1.20817349709795,-0.411216961145247,-0.206404376020055,-0.47836676557025,0.818940276196901,-0.583147537134718,-0.80041910822706,-0.851228678516688,-0.776412867569721,0.323855706100572
"CT-R1-G0-CG-181228","CT-R1-G0-CG-6",6,"CG","SS-HA-CM-CG-QC-CS-LH-ED-DO-QS",1,"CT-R1-G0",0,TRUE,0,3.45,2.41,0.978073008898224,-0.390851068429925,-1.11494261361613,1.03610208327403,-0.341267938390657,-0.617277321457498,-0.494057889204764,-0.0807581161762552,-0.656889725976011,0.93539102188115,-0.559746335738013,-0.98309393668206,-0.593665057834452,-0.830286310967765,0.506617549539999
"CT-R1-G0-CG-181229","CT-R1-G0-CG-6",6,"CG","SS-HA-CM-CG-QC-CS-LH-ED-DO-QS",1,"CT-R1-G0",0,TRUE,0,3.44,2.23,0.932366811959518,-0.680780834327095,-1.17959604705804,1.1400473274938,0.820909983716011,0.48616683005736,-0.604512459950785,-1.087272817917,0.889874901773174,0.135647735471087,-0.81938906402706,-1.29794864981372,-0.579487313980798,-0.473563715140781,-0.996994236782352
"CT-R1-G0-CG-181230","CT-R1-G0-CG-6",6,"CG","SS-HA-CM-CG-QC-CS-LH-ED-DO-QS",1,"CT-R1-G0",0,TRUE,0,2.52,1.47,1.15535765156957,-0.336594686511649,-0.802458974313789,0.896147304126241,0.236072060236992,0.43167576084675,-0.352921493251513,-0.594082227397749,0.631745153449251,-0.186383889661643,-0.304992614879201,-0.910676372782077,-0.70103358091738,-0.0438500964508652,-0.676069763196464
"CT-R1-G0-CG-181231","CT-R1-G0-CG-6",6,"CG","SS-HA-CM-CG-QC-CS-LH-ED-DO-QS",1,"CT-R1-G0",0,TRUE,0,2.69,2.54,1.23268884289812,-0.246729778980888,-0.73162298783859,1.07741506992871,0.918382976079845,0.90847261643959,-0.460307881476812,-0.622084308609753,0.314265701632768,0.243972606263736,-0.557677743984628,-1.05047720067577,-0.684307019963773,-0.425052743671355,-0.429902971440266
"CT-R1-G0-CG-181232","CT-R1-G0-CG-6",6,"CG","SS-HA-CM-CG-QC-CS-LH-ED-DO-QS",1,"CT-R1-G0",0,TRUE,0,2.56,2.21,1.45383296794202,-0.43147182204704,-0.847503855974128,1.1485294539734,1.14581994461591,0.295448087820224,-0.589171547347171,-1.35063039863761,0.674332415735828,0.723360137617828,-1.31954542893323,-1.28030809475243,-0.569996173962475,-1.06631452962873,-0.891415528460217
"CT-R1-G0-CG-181233","CT-R1-G0-CG-6",6,"CG","SS-HA-CM-CG-QC-CS-LH-ED-DO-QS",1,"CT-R1-G0",0,TRUE,0,1.01,0.86,1.63434936145039,-0.263690448287583,-0.372263546267162,0.788562922669187,1.06459245439093,1.04470028946612,-0.911330712023068,-0.361347765053692,0.00460477362967602,0.321988811750238,-0.420372815230058,-0.933311637261267,-0.969272450268187,-0.407987111389551,-0.115965952069356
"CT-R1-G0-CG-181235","CT-R1-G0-CG-7",7,"CG","SS-HA-CM-CG-QC-CS-LH-ED-DO-QS",1,"CT-R1-G0",0,TRUE,0,6.49,2.8,1.23845982782176,-0.157575265976061,-0.758685311058135,-0.234991719371581,0.993270757404192,1.39889223933508,-0.0307623285756162,-0.830874774628187,0.605920332368656,0.145645141943276,-0.648183463347586,-0.584038971955966,-0.73623739839381,-0.405004828285915,-0.712550731844511
"CT-R1-G0-CG-181236","CT-R1-G0-CG-7",7,"CG","SS-HA-CM-CG-QC-CS-LH-ED-DO-QS",1,"CT-R1-G0",0,TRUE,0,1.98,0.84,0.817870479772597,-0.321262004364224,-0.388668593503956,0.718332450262919,0.198165905637423,-0.617277321457498,-0.727239760779698,-0.646445747929417,-0.62158790633373,1.59837918558483,-1.30899605948771,-0.677449825896706,-0.38933269209675,-1.58175570684082,0.340359941055979
"CT-R1-G0-CG-181239","CT-R1-G0-CG-7",7,"CG","SS-HA-CM-CG-QC-CS-LH-ED-DO-QS",1,"CT-R1-G0",0,TRUE,0,3,1.62,0.258777504636448,-0.515880504994463,-0.312930415288795,1.06514959090781,1.43011616040332,0.26820255321492,-0.454171516435367,-0.476712810570956,-0.251333418776858,0.82707779818353,-0.773770709892383,-0.920213108230747,0.0747428400442976,-0.875198057866791,0.0679210233643337
