"Panel","sp","N","r_squared","p_value"
"SSD","HA",8,0.100780576130017,0.443546379954474
"SSD","LH",9,0.0287324164787182,0.662846005702776
"SSD","QC",13,0.0207426965888175,0.638769235880171
"SSD","QS",5,0.449156195670085,0.215764326714839
"SSD","SS",6,0.0106617607179087,0.845666740811179
"SRL","CG",7,0.354078891849649,0.158713849598788
"SRL","CM",8,0.294022692827914,0.16501213668928
"SRL","CS",3,0.766387606962239,0.321149125919087
"SRL","DO",4,0.00614488596446762,0.921610676974045
"SRL","ED",9,0.0417249221766602,0.598069910086539
"SRL","HA",8,0.150674759616609,0.341988406842211
"SRL","LH",9,0.0572498602670395,0.535224015169914
"SRL","QC",13,0.153585995086987,0.185378688587998
"SRL","QS",5,0.000239930135532791,0.980278717665119
"SRL","SS",6,0.162856235695787,0.427528931230048
"RD","CG",7,0.000517765220095719,0.961380837159134
"RD","CM",8,0.00046602270872998,0.959535900259128
"RD","CS",3,0.529205841910725,0.48139639430886
"RD","DO",4,0.562957877154491,0.249694810657363
"RD","ED",9,0.00569526548209907,0.846987715262353
"RD","HA",8,0.286975580794606,0.171182861277753
"RD","LH",9,0.550307496090706,0.0221246182250464
"RD","QC",13,0.000379959554757425,0.949603458859757
"RD","QS",5,0.0149169059528854,0.844880643855318
"RD","SS",6,0.153674365799696,0.442101359406029
"RTD","CG",7,0.0886078066032725,0.516746437061302
"RTD","CM",8,0.466636843691628,0.0618463724065578
"RTD","CS",3,0.475272927829159,0.515748166758316
"RTD","DO",4,0.302054138907082,0.450405477731918
"RTD","ED",9,0.118786313262174,0.363717021836467
"RTD","HA",8,0.119723323321219,0.401152227462952
"RTD","LH",9,0.1899144846114,0.240984512637046
"RTD","QC",13,0.0643975787483457,0.402816898292473
"RTD","QS",5,0.00534094754013184,0.907032275468445
"RTD","SS",6,0.000691112324879097,0.960575561397342
"SRA","CG",7,0.23725904952332,0.267585254861794
"SRA","CM",8,0.305214481854706,0.15560829255163
"SRA","CS",3,0.0591281702869382,0.843630114797023
"SRA","DO",4,0.342519143916707,0.414748648940725
"SRA","ED",9,0.0935610549880394,0.423432742091184
"SRA","HA",8,0.0939325832947496,0.460314058581315
"SRA","LH",9,0.246747036723626,0.173727062444404
"SRA","QC",13,0.221917469895912,0.104185922209981
"SRA","QS",5,0.0330672981115736,0.769751249495201
"SRA","SS",6,0.0169068807780439,0.806059478187515
